dataset,ticker,metric,country,value,value_txt,period_end,period_span,unit,created_by,inter_country_comparison,categories,updated_on,source,all_topics,dimensions
BankCreditAndDeposits,BankDeposits,Value,IN,116725850000000.0,,2019-11-08,,INR,MacroSearchEngine,False,"{""TimeDeposits"": ""SubcategoryOfBankDeposits""}",2019-11-29,https://rbi.org.in/Scripts/WSSView.aspx?Id=23391,[Value][BankDeposits][TimeDeposits][IN][BankCreditAndDeposits],[TimeDeposits]
BankCreditAndDeposits,BankDeposits,YoY,IN,0.10025339812990808,,2019-11-08,,Percentage,MacroSearchEngine,False,"{""TimeDeposits"": ""SubcategoryOfBankDeposits""}",2019-11-29,https://rbi.org.in/Scripts/WSSView.aspx?Id=23391,[YoY][BankDeposits][TimeDeposits][IN][BankCreditAndDeposits],[TimeDeposits]
BankCreditAndDeposits,BankCredit,Value,IN,98475170000000.0,,2019-11-08,,INR,MacroSearchEngine,True,{},2019-11-29,https://rbi.org.in/Scripts/WSSView.aspx?Id=23391,[BankCredit][BankCreditAndDeposits][Value][IN],
BankCreditAndDeposits,BankCredit,YoY,IN,0.08078756488967098,,2019-11-08,,Percentage,MacroSearchEngine,True,{},2019-11-29,https://rbi.org.in/Scripts/WSSView.aspx?Id=23391,[IN][BankCredit][BankCreditAndDeposits][YoY],
BankCreditAndDeposits,BankCredit,Value,IN,800480000000.0,,2019-11-08,,INR,MacroSearchEngine,False,"{""FoodCredit"": ""SubcategoryOfBankCredit""}",2019-11-29,https://rbi.org.in/Scripts/WSSView.aspx?Id=23391,[FoodCredit][Value][IN][BankCredit][BankCreditAndDeposits],[FoodCredit]
BankCreditAndDeposits,BankCredit,YoY,IN,0.3220803673179513,,2019-11-08,,Percentage,MacroSearchEngine,False,"{""FoodCredit"": ""SubcategoryOfBankCredit""}",2019-11-29,https://rbi.org.in/Scripts/WSSView.aspx?Id=23391,[FoodCredit][BankCredit][YoY][IN][BankCreditAndDeposits],[FoodCredit]
BankCreditAndDeposits,BankCredit,Value,IN,97674690000000.0,,2019-11-08,,INR,MacroSearchEngine,False,"{""NonFoodCredit"": ""SubcategoryOfBankCredit""}",2019-11-29,https://rbi.org.in/Scripts/WSSView.aspx?Id=23391,[Value][IN][NonFoodCredit][BankCredit][BankCreditAndDeposits],[NonFoodCredit]
BankCreditAndDeposits,BankCredit,YoY,IN,0.07917340634280867,,2019-11-08,,Percentage,MacroSearchEngine,False,"{""NonFoodCredit"": ""SubcategoryOfBankCredit""}",2019-11-29,https://rbi.org.in/Scripts/WSSView.aspx?Id=23391,[BankCredit][YoY][NonFoodCredit][IN][BankCreditAndDeposits],[NonFoodCredit]
BankCreditAndDeposits,BankCredit,Value,IN,96449740000000.0,,2019-11-08,,INR,MacroSearchEngine,False,"{""LoansCashCreditAndOverdraft"": ""SubcategoryOfBankCredit""}",2019-11-29,https://rbi.org.in/Scripts/WSSView.aspx?Id=23391,[Value][BankCreditAndDeposits][IN][BankCredit][LoansCashCreditAndOverdraft],[LoansCashCreditAndOverdraft]
BankCreditAndDeposits,BankCredit,YoY,IN,0.08451699114932798,,2019-11-08,,Percentage,MacroSearchEngine,False,"{""LoansCashCreditAndOverdraft"": ""SubcategoryOfBankCredit""}",2019-11-29,https://rbi.org.in/Scripts/WSSView.aspx?Id=23391,[BankCredit][BankCreditAndDeposits][YoY][IN][LoansCashCreditAndOverdraft],[LoansCashCreditAndOverdraft]
