dataset,ticker,metric,country,value,value_txt,period_end,period_span,unit,created_by,inter_country_comparison,as_reported,pfea,all_topics,dimensions,categories
CPI,CPI,YoY,IN,2.13,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Candle (no.)][CPI],[Candle (no.)],"{""Candle (no.)"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,2.02,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,"[YoY][IN][Candy, Misri][CPI]","[Candy, Misri]","{""Candy, Misri"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,11.51,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,"[YoY][IN][Carpet, Daree & Other Floor Mattings][CPI]","[Carpet, Daree & Other Floor Mattings]","{""Carpet, Daree & Other Floor Mattings"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,-11.71,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][Carrot][IN][CPI],[Carrot],"{""Carrot"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,16.63,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Cashewnut][CPI],[Cashewnut],"{""Cashewnut"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,-3.31,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Cauliflower][CPI],[Cauliflower],"{""Cauliflower"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,-2.57,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,"[YoY][IN][CD, DVD, Audio/video Cassette, etc][CPI]","[CD, DVD, Audio/video Cassette, etc]","{""CD, DVD, Audio/video Cassette, etc"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,-5.96,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,"[YoY][IN][Cereal Substitutes: Tapioca, etc.][CPI]","[Cereal Substitutes: Tapioca, etc.]","{""Cereal Substitutes: Tapioca, etc."": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,2.03,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,"[YoY][IN][Chair, Stool, Bench, Table][CPI]","[Chair, Stool, Bench, Table]","{""Chair, Stool, Bench, Table"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,4.39,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Charcoal][CPI],[Charcoal],"{""Charcoal"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,13.52,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Cheroot (no.)][CPI],[Cheroot (no.)],"{""Cheroot (no.)"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,-7.66,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Chicken][CPI],[Chicken],"{""Chicken"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,17.7,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][Chips (gm)][IN][CPI],[Chips (gm)],"{""Chips (gm)"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,6.47,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Chira][CPI],[Chira],"{""Chira"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,-2.91,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Cigarettes (no.)][CPI],[Cigarettes (no.)],"{""Cigarettes (no.)"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,3.71,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Cinema: New Release(normal Day)][CPI],[Cinema: New Release(normal Day)],"{""Cinema: New Release(normal Day)"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,3.47,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,"[YoY][Clock, Watch][IN][CPI]","[Clock, Watch]","{""Clock, Watch"": ""ConsumptionItem""}"
